SR_ID_Pub3,No of trials_Pub3,No of participants_Pub3,List of participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,conclusion,No of trials_Pub2,No of participants_Pub2,List of participants_Pub2,SearchDate_Pub2
25203307,4,957,"[166, 338, 300, 153]",9-Sep-14,4-Sep-14,0,4,957,"[166, 338, 300, 153]",1-Mar-12
25202988,6,183,"[10, 38, 36, 30, 27, 42]",9-Sep-14,2-Sep-14,0,6,183,"[10, 38, 36, 30, 27, 42]",17-May-12
25198378,1,0,[],8-Sep-14,31-Jul-13,0,1,0,[],30-Nov-10
25198249,4,229,"[34, 62, 59, 74]",8-Sep-14,22-Aug-13,0,4,229,"[34, 62, 59, 74]",23-Feb-11
25178118,19,3,"[1, 1, 1]",1-Sep-14,12-Apr-13,1,19,3,"[1, 1, 1]",1-Feb-10
25171736,21,353,[353],29-Aug-14,31-May-13,0,9,353,[353],3-May-11
25150465,6,0,[],24-Aug-14,31-May-14,0,2,411,"[114, 297]",31-May-07
25144654,3,16,[16],21-Aug-14,31-May-14,0,3,16,[16],31-Jul-09
25117413,14,607,"[20, 46, 40, 86, 13, 20, 34, 38, 42, 100, 60, 53, 36, 19]",12-Aug-14,29-Apr-13,0,13,507,"[20, 46, 40, 86, 13, 20, 34, 38, 42, 60, 53, 36, 19]",30-Apr-11
25102015,10,475,"[19, 153, 50, 20, 40, 49, 27, 24, 47, 46]",7-Aug-14,29-Aug-13,1,5,132,"[15, 20, 27, 24, 46]",9-Sep-10
25099517,30,4407,"[300, 260, 179, 246, 138, 90, 152, 90, 499, 207, 143, 603, 400, 373, 592, 135]",6-Aug-14,23-May-14,0,24,8909,"[300, 357, 436, 300, 79, 182, 179, 268, 237, 2628, 280, 291, 183, 90, 380, 153, 90, 600, 286, 286, 400, 347, 373, 184]",31-Aug-07
25097101,5,2926,"[546, 201, 1198, 101, 880]",6-Aug-14,28-Feb-14,0,5,2926,"[546, 201, 1198, 101, 880]",31-Jan-12
25089848,1,102,[102],4-Aug-14,23-Jul-14,0,1,102,[102],27-Jan-12
25088229,5,366,"[73, 80, 53, 100, 60]",4-Aug-14,31-Jul-13,0,4,266,"[73, 80, 53, 60]",31-Oct-10
25075589,13,3081,"[118, 85, 449, 460, 180, 280, 240, 122, 121, 500, 33, 400, 93]",30-Jul-14,31-Jan-14,0,5,413,"[95, 85, 121, 36, 76]",31-Jul-10
25072528,27,3820,"[16, 37, 57, 9, 228, 101, 3035, 114, 188, 2, 33]",29-Jul-14,30-Nov-13,1,26,583,"[14, 37, 57, 9, 228, 15, 188, 2, 33]",31-Oct-08
25069726,4,121,"[44, 24, 15, 38]",29-Jul-14,31-Jan-14,0,4,121,"[44, 24, 15, 38]",27-Jan-12
25069620,11,29,"[1, 27, 1]",29-Jul-14,28-Feb-14,0,10,29,"[1, 27, 1]",31-Jan-11
25062018,4,203,"[28, 145, 30]",25-Jul-14,29-Nov-13,0,4,203,"[28, 145, 30]",31-Dec-11
25054950,8,1074,"[177, 54, 63, 175, 72, 187, 132, 214]",23-Jul-14,14-Oct-13,0,8,947,"[54, 63, 50, 175, 72, 187, 132, 214]",11-Mar-10
25054949,14,623,"[46, 53, 64, 18, 64, 18, 34, 20, 12, 139, 155]",23-Jul-14,7-Apr-14,0,8,403,"[46, 64, 18, 64, 139, 18, 34, 20]",31-Aug-08
25048608,27,9486,"[118, 340, 3033, 60, 200, 811, 154, 50, 158, 48, 30, 991, 300, 100, 945, 400, 400, 296, 200, 208, 110, 200, 100, 72, 162]",22-Jul-14,1-Sep-13,1,15,4116,"[118, 340, 154, 50, 158, 30, 991, 100, 945, 400, 296, 200, 100, 72, 162]",30-Nov-07
25046211,22,23309,"[3991, 1990, 1639, 802, 921, 913, 519, 196, 1010, 395, 224, 472, 311, 250, 1829, 142, 60, 5993, 554, 457, 100, 541]",21-Jul-14,28-Feb-12,1,22,23309,"[3991, 1990, 1639, 802, 921, 913, 519, 196, 1010, 395, 224, 472, 311, 250, 1829, 142, 60, 5993, 554, 457, 100, 541]",28-Feb-12
25038719,38,1179,"[17, 15, 14, 23, 7, 23, 5, 14, 16, 22, 29, 12, 16, 40, 107, 7, 166, 166, 43, 29, 21, 17, 80, 30, 15, 15, 10, 21, 30, 4, 75, 22, 28, 28, 12]",20-Jul-14,13-Jan-14,0,37,1072,"[17, 15, 14, 23, 7, 23, 5, 14, 16, 22, 29, 12, 16, 40, 7, 166, 166, 43, 29, 21, 17, 80, 30, 15, 15, 10, 21, 30, 4, 75, 22, 28, 28, 12]",31-Dec-10
25037027,30,134,"[30, 22, 34, 48]",18-Jul-14,30-Sep-13,0,22,56,"[34, 22]",28-Feb-08
25036694,3,153,"[64, 59, 30]",18-Jul-14,24-Jul-13,0,3,153,"[64, 59, 30]",6-Dec-10
25019293,17,263,"[14, 8, 10, 17, 6, 17, 21, 22, 8, 9, 12, 24, 22, 17, 38, 18]",13-Jul-14,17-Mar-14,0,16,246,"[14, 8, 10, 17, 6, 21, 22, 8, 9, 12, 24, 22, 17, 38, 18]",15-Feb-12
25004278,4,747,"[63, 640, 44]",8-Jul-14,20-Jan-14,0,3,747,"[63, 640, 44]",27-Oct-08
24999919,57,28563,"[2052, 988, 419, 4300, 640, 113, 1202, 1820, 60, 50, 606, 939, 797, 1914, 45, 90, 325, 2402, 210, 580, 9011]",7-Jul-14,30-Jun-14,1,44,22697,"[2052, 988, 419, 4300, 1202, 1820, 60, 50, 606, 939, 45, 90, 325, 210, 580, 9011]",31-Jul-10
24984156,3,149,"[28, 82, 39]",1-Jul-14,17-Mar-14,0,3,149,"[28, 82, 39]",22-Dec-11
24979199,18,2652,"[82, 18, 27, 104, 468, 93, 57, 69, 237, 117, 176, 108, 23, 808, 1, 50, 214]",30-Jun-14,10-Feb-14,1,11,1776,"[27, 104, 57, 69, 237, 117, 176, 108, 23, 808, 50]",10-Apr-12
24972265,8,3784,"[93, 214, 200, 1506, 211, 285, 796, 479]",27-Jun-14,15-Jan-14,0,8,0,[],31-May-02
24959692,11,1410,"[227, 154, 73, 244, 116, 53, 206, 150, 104, 51, 32]",24-Jun-14,31-Aug-13,0,8,0,[],28-Feb-09
24957634,2,189,"[35, 154]",24-Jun-14,31-Jan-14,0,2,189,"[35, 154]",31-Aug-08
24956457,12,555,"[30, 30, 22, 97, 83, 28, 120, 29, 40, 20, 56]",23-Jun-14,2-Jun-14,0,12,555,"[30, 30, 22, 97, 83, 28, 120, 29, 40, 20, 56]",31-Dec-11
24956204,6,1205,"[200, 131, 53, 96, 472, 253]",23-Jun-14,31-Aug-13,0,4,752,"[131, 53, 96, 472]",30-Sep-08
24954057,3,59,"[13, 24, 22]",23-Jun-14,31-Mar-14,0,3,59,"[13, 24, 22]",28-Feb-08
24941907,70,9651,"[103, 73, 100, 77, 199, 402, 38, 155, 59, 54, 150, 56, 74, 53, 345, 100, 200, 151, 200, 80, 107, 42, 36, 60, 120, 84, 48, 42, 955, 80, 90, 80, 220, 100, 91, 24, 40, 95, 265, 200, 75, 58, 71, 100, 200, 200, 90, 100, 69, 30, 200, 796, 118, 215, 201, 50, 91, 200, 69, 121, 267, 165, 121, 69, 130, 58, 81, 206, 52]",19-Jun-14,1-Mar-14,0,63,8547,"[103, 73, 77, 199, 402, 38, 155, 59, 54, 150, 56, 74, 53, 345, 100, 200, 200, 80, 107, 42, 36, 60, 120, 84, 48, 42, 955, 90, 80, 220, 100, 91, 24, 40, 95, 265, 200, 75, 58, 71, 100, 200, 200, 90, 69, 30, 200, 470, 118, 215, 201, 50, 91, 200, 69, 121, 267, 121, 69, 58, 81, 206]",31-May-09
24941199,16,1035,"[12, 193, 128, 26, 42, 26, 24, 12, 21, 102, 10, 10, 177, 81, 155, 16]",18-Jun-14,19-Dec-13,0,13,1070,"[193, 514, 49, 26, 65, 26, 24, 12, 21, 70, 10, 10, 50]",30-Sep-07
24919591,10,432,"[60, 30, 40, 46, 24, 56, 66, 30, 40, 40]",12-Jun-14,31-Oct-13,0,8,336,"[60, 30, 40, 46, 24, 66, 30, 40]",31-Jan-10
24915581,21,1275,"[81, 92, 40, 128, 20, 30, 97, 147, 34, 18, 102, 40, 300, 60, 17, 36, 33]",10-Jun-14,30-Sep-13,0,15,1084,"[40, 128, 20, 30, 97, 147, 34, 102, 40, 300, 60, 17, 36, 33]",31-Aug-11
24913721,9,1050,"[150, 72, 60, 149, 81, 363, 46, 62, 67]",10-Jun-14,9-Oct-13,0,5,696,"[149, 81, 360, 62, 44]",11-Feb-09
24913720,15,428,"[41, 16, 19, 20, 24, 14, 16, 5, 18, 10, 30, 53, 145, 12, 5]",10-Jun-14,22-Aug-13,0,11,317,"[41, 16, 19, 20, 14, 17, 10, 30, 145, 5]",9-Oct-09
24896368,2,88,"[77, 11]",4-Jun-14,31-Oct-13,0,2,88,"[77, 11]",30-Sep-11
24894643,4,436,"[43, 198, 95, 100]",4-Jun-14,10-Jan-14,0,4,436,"[43, 198, 95, 100]",14-May-09
24879341,3,240,"[79, 155, 6]",30-May-14,29-Jan-14,0,3,354,"[79, 155, 120]",31-Dec-08
24848893,12,156,"[65, 91]",22-May-14,31-Oct-13,0,12,156,"[65, 91]",30-Apr-10
24823491,21,1868,"[50, 75, 197, 135, 122, 50, 118, 45, 100, 26, 43, 70, 147, 127, 110, 27, 49, 41, 286, 50]",14-May-14,15-Apr-13,0,14,1334,"[50, 197, 135, 122, 118, 100, 26, 43, 70, 110, 27, 286, 50]",18-Feb-09
24825542,21,1438,"[34, 16, 88, 287, 38, 70, 43, 21, 41, 23, 118, 60, 18, 25, 371, 64, 30, 15, 20, 20, 36]",13-May-14,31-Aug-13,0,19,1154,"[34, 16, 88, 287, 70, 21, 118, 18, 25, 371, 30, 20, 20, 36]",31-May-08
24809816,16,2181,"[600, 66, 30, 38, 128, 164, 196, 10, 288, 95, 86, 200, 82, 70, 45, 83]",9-May-14,13-Jun-12,1,4,222,"[155, 22, 45]",20-Jun-06
24788977,6,661,"[392, 60, 177, 32]",1-May-14,31-Oct-13,1,2,392,[392],31-Aug-10
24782334,19,40,[40],29-Apr-14,25-Mar-13,0,19,40,[40],25-Mar-13
24777492,2,190,"[36, 154]",29-Apr-14,31-Jan-14,0,2,190,"[36, 154]",31-Aug-08
24771480,37,5704,"[150, 165, 102, 19, 121, 76, 389, 325, 57, 56, 120, 40, 26, 138, 18, 158, 50, 20, 120, 25, 360, 32, 115, 420, 170, 334, 38, 229, 147, 452, 305, 60, 24, 14, 58, 400, 371]",27-Apr-14,31-Mar-14,0,29,3571,"[150, 165, 19, 121, 76, 389, 325, 57, 56, 120, 40, 26, 18, 158, 50, 20, 25, 32, 115, 334, 38, 229, 147, 305, 60, 24, 14, 58, 400]",31-Jan-11
24771319,6,1798,"[300, 428, 253, 105, 272, 440]",25-Apr-14,30-Jun-13,0,6,1798,"[300, 428, 253, 105, 272, 440]",20-May-08
24760678,6,1543,"[74, 905, 498, 66]",23-Apr-14,31-Mar-14,1,5,564,"[498, 66]",30-Nov-10
24752403,18,0,[],22-Apr-14,31-Mar-14,0,16,2518,"[114, 50, 128, 285, 777, 110, 89, 73, 60, 28, 30, 60, 300, 220, 71, 123]",31-Jan-11
24729384,2,67,[67],14-Apr-14,31-Jul-13,0,2,67,[67],31-Jan-10
24719027,10,475,"[77, 16, 132, 30, 59, 15, 12, 64, 30, 40]",10-Apr-14,28-Feb-14,0,15,605,"[77, 29, 16, 132, 40, 30, 59, 15, 12, 64, 40, 9, 30, 12, 40]",30-Jun-10
24683040,67,93804,"[1389, 699, 54, 887, 177, 1239, 339, 6426, 184, 41, 641, 0, 314, 50, 0, 1805, 96, 9101, 532, 2065, 90, 804, 213, 1312, 5162, 2530, 671, 423, 9364, 563, 8113, 155, 34, 573, 25540, 614, 573, 8760, 1103, 940, 2, 226]",30-Mar-14,28-Feb-13,0,55,66663,"[1389, 887, 177, 1239, 339, 6426, 641, 0, 314, 0, 1805, 96, 9101, 532, 2065, 90, 804, 213, 1312, 5162, 2530, 671, 423, 9364, 563, 8113, 155, 34, 614, 8760, 573, 1103, 940, 2, 226]",28-Feb-11
24683009,5,105,"[44, 1, 60]",30-Mar-14,2-Dec-13,0,5,105,"[44, 1, 60]",30-Sep-11
24683002,5,0,[],28-Mar-14,30-Jun-30,0,5,0,[],28-Feb-10
24676557,7,921,"[28, 26, 22, 309, 80, 407, 49]",28-Mar-14,31-Oct-12,0,6,841,"[28, 26, 22, 309, 407, 49]",30-Nov-09
24668137,8,1483,"[106, 30, 435, 309, 80, 441, 53, 29]",25-Mar-14,16-Oct-13,0,14,3041,"[74, 400, 319, 439, 43, 106, 30, 435, 309, 283, 80, 441, 53, 29]",30-Jun-07
24664368,5,1193,"[219, 433, 314, 42, 185]",25-Mar-14,28-Feb-14,0,4,1008,"[219, 433, 314, 42]",30-Jun-11
24659261,37,5105,"[100, 90, 78, 169, 126, 80, 150, 302, 100, 70, 66, 14, 100, 55, 298, 1, 105, 120, 225, 97, 161, 70, 150, 170, 78, 98, 80, 230, 74, 593, 291, 138, 342, 70, 34, 60, 120]",21-Mar-14,27-Apr-13,0,27,3944,"[90, 169, 126, 80, 150, 302, 100, 66, 14, 55, 1, 225, 97, 161, 70, 170, 78, 98, 230, 74, 593, 291, 138, 342, 70, 34, 120]",28-May-10
24638894,5,2190,"[35, 200, 736, 1219]",17-Mar-14,30-Jun-13,0,5,2992,"[35, 200, 736, 802, 1219]",31-May-09
24627325,24,2556,"[212, 75, 63, 20, 93, 710, 120, 60, 126, 40, 59, 14, 60, 98, 96, 62, 140, 30, 105, 81, 250, 42]",14-Mar-14,31-May-13,0,16,1927,"[212, 63, 20, 710, 60, 126, 40, 60, 96, 62, 105, 81, 250, 42]",31-May-07
24599680,7,696,"[86, 59, 80, 105, 74, 203, 89]",5-Mar-14,28-Feb-13,1,7,614,"[69, 52, 80, 95, 66, 194, 58]",30-Jun-07
24595491,4,0,[],5-Mar-14,9-Sep-13,0,4,0,[],15-May-12
24671922,57,35918,"[952, 181, 130, 80, 1483, 218, 103, 143, 303, 630, 96, 291, 443, 41, 933, 479, 108, 204, 95, 501, 1062, 274, 92, 40, 251, 476, 2901, 1015, 91, 292, 731, 87, 101, 184, 375, 150, 20382]",1-Mar-14,30-Sep-13,0,36,35570,"[630, 20382, 96, 143, 184, 933, 2901, 181, 291, 251, 476, 731, 103, 1015, 443, 41, 150, 952, 1062, 101, 95, 92, 91, 501, 87, 204, 274, 479, 108, 292, 80, 1483, 303, 40, 375]",31-Oct-07
24578236,8,183,"[14, 12, 25, 39, 21, 39, 33]",27-Feb-14,15-Jan-14,0,8,183,"[14, 12, 25, 39, 21, 39, 33]",6-Apr-11
24574099,6,1166,"[17, 767, 34, 150, 148, 50]",27-Feb-14,18-Nov-09,0,4,868,"[17, 767, 34, 50]",30-Nov-09
24570033,11,1198,"[56, 86, 181, 263, 177, 190, 6, 47, 60, 46, 86]",25-Feb-14,30-Jun-13,0,10,1112,"[56, 86, 181, 263, 177, 190, 6, 47, 60, 46]",10-May-07
24567053,21,4172,"[193, 211, 70, 102, 187, 101, 94, 223, 233, 165, 328, 60, 150, 148, 91, 80, 1282, 250, 204]",25-Feb-14,13-Nov-13,1,19,4365,"[386, 211, 70, 102, 187, 101, 94, 223, 233, 165, 328, 60, 150, 148, 91, 80, 1282, 250, 204]",31-May-09
24558013,1,129,[129],20-Feb-14,30-Mar-13,0,1,129,[129],10-Jan-11
24532038,3,0,[],14-Feb-14,30-Jun-13,0,2,0,[],9-Jul-09
24526345,3,48,"[36, 12]",14-Feb-14,31-Jan-14,0,1,25,[25],28-Feb-11
24519736,1,141,[141],12-Feb-14,31-May-13,0,1,141,[141],25-Mar-11
24519568,19,2686,"[76, 120, 44, 646, 121, 30, 141, 16, 17, 61, 207, 100, 50, 40, 100, 20, 107, 210, 580]",11-Feb-14,27-Nov-13,0,16,1403,"[1, 120, 44, 30, 23, 23, 17, 60, 207, 100, 50, 40, 100, 8, 580]",31-May-09
24515630,20,1031,"[15, 20, 26, 29, 50, 42, 40, 240, 20, 20, 60, 102, 107, 82, 63, 20, 50, 45]",11-Feb-14,28-May-13,1,14,820,"[15, 29, 50, 42, 40, 240, 20, 20, 60, 107, 82, 20, 50, 45]",31-Oct-10
24515610,63,19028,"[191, 278, 615, 56, 459, 156, 33, 356, 457, 84, 317, 60, 254, 457, 290, 322, 166, 284, 376, 241, 1798, 118, 438, 169, 936, 146, 108, 60, 100, 100, 76, 236, 130, 70, 607, 474, 182, 58, 981, 135, 81, 80, 47, 31, 242, 471, 437, 428, 445, 493, 452, 338, 370, 458, 569, 113, 1099, 214, 286]",11-Feb-14,31-Mar-13,0,61,17687,"[191, 278, 615, 56, 459, 156, 33, 356, 457, 84, 317, 60, 254, 457, 290, 322, 284, 376, 241, 1798, 438, 169, 936, 146, 108, 60, 100, 100, 236, 130, 70, 607, 474, 182, 58, 135, 81, 80, 47, 31, 242, 471, 437, 428, 445, 493, 452, 338, 370, 458, 569, 113, 1099, 214, 286]",31-Mar-10
24515533,4,3972,"[76, 3742, 30, 124]",11-Feb-14,1-Dec-13,0,4,3972,"[76, 3742, 30, 124]",30-Apr-10
24510642,12,1834,"[172, 70, 64, 876, 155, 126, 80, 103, 40, 43, 40, 65]",8-Feb-14,31-Aug-13,0,11,1754,"[172, 70, 64, 876, 155, 126, 103, 40, 43, 40, 65]",31-Jul-06
24500927,6,943,"[46, 187, 83, 419, 208]",6-Feb-14,26-Apr-13,0,6,1319,"[46, 187, 83, 419, 208, 376]",31-Jan-13
24500904,24,90,[90],6-Feb-14,24-Jan-13,0,20,90,[90],31-Jan-09
24500879,6,948,"[44, 41, 154, 94, 318, 297]",5-Feb-14,30-Nov-13,0,6,948,"[44, 41, 154, 94, 318, 297]",31-Dec-11
24500864,3,0,[],5-Feb-14,17-Dec-13,0,5,3910,"[56, 1277, 1029, 665, 883]",31-Jan-11
24497383,2,1305,"[74, 1231]",5-Feb-14,31-Dec-13,1,1,74,[74],21-Sep-10
24488654,10,316,"[11, 101, 48, 24, 21, 25, 20, 21, 21, 24]",3-Feb-14,5-Sep-13,0,10,316,"[11, 101, 48, 24, 21, 25, 20, 21, 21, 24]",21-Jul-11
24488572,102,49028,"[480, 526, 22, 90, 28, 308, 246, 28, 32, 14, 242, 88, 36, 7, 24, 41, 12, 1310, 1, 2976, 668, 2092, 6588, 3487, 8, 37, 142, 91, 171, 28, 25, 26, 314, 77, 34, 16, 41, 405, 110, 238, 352, 42, 76, 722, 159, 360, 223, 16, 1500, 14, 298, 50, 122, 53, 35, 55, 21, 39, 75, 75, 74, 52, 52, 20, 55, 359, 151, 167, 599, 28, 6698, 572, 144, 47, 60, 58, 51, 39, 379, 31, 68, 197, 98, 50, 50, 50, 50, 2159, 955, 92, 122, 42, 110, 43, 1155, 100, 318, 171, 126, 7905, 135]",31-Jan-14,14-Mar-11,0,62,8206,"[526, 22, 90, 28, 246, 28, 32, 14, 242, 88, 36, 7, 24, 41, 12, 1, 1, 2, 668, 2, 6, 3, 8, 26, 314, 77, 16, 41, 110, 352, 42, 76, 159, 360, 298, 53, 39, 75, 75, 52, 20, 28, 144, 47, 58, 51, 39, 379, 31, 68, 98, 50, 2, 955, 92, 122, 43, 1155, 100, 171, 126, 135]",28 Februrary 2007
24482121,8,678,"[83, 150, 53, 60, 150, 25, 44, 113]",31-Jan-14,31-Aug-13,0,4,307,"[53, 60, 150, 44]",31-Mar-09
24482008,3,229,"[6, 73, 150]",30-Jan-14,31-May-13,1,2,79,"[6, 73]",31-Jan-08
24477710,6,2030,"[1169, 141, 74, 175, 224, 247]",30-Jan-14,31-May-12,0,6,2030,"[1169, 141, 74, 175, 224, 247]",31-Jul-07
24477672,5,1249,"[420, 140, 104, 180, 405]",30-Jan-14,4-Oct-11,1,9,1630,"[25, 420, 20, 20, 180, 247, 285, 405, 28]",31-Oct-07
24448973,36,0,[],21-Jan-14,7-Feb-13,0,27,0,[],15-Dec-11
24436005,2,0,[],16-Jan-14,30-Nov-13,0,2,0,[],31-Jan-11
24414552,56,59514,"[208, 134, 5292, 240, 122, 218, 244, 192, 124, 100, 205, 391, 3270, 610, 338, 46, 187, 82, 167, 389, 378, 625, 489, 686, 98, 104, 150, 36, 70, 464, 248, 3139, 1179, 9605, 243, 3717, 182, 2578, 226, 3440, 55, 112, 348, 86, 3314, 302, 2258, 64, 86, 103, 96, 123, 9440, 2686, 105, 120]",10-Jan-14,28-Feb-12,0,50,58309,"[208, 134, 240, 122, 218, 244, 192, 124, 205, 391, 3270, 610, 338, 187, 65, 167, 389, 378, 625, 489, 98, 5292, 150, 36, 464, 248, 3139, 1179, 9605, 243, 3717, 2578, 226, 3440, 55, 112, 348, 86, 3314, 302, 2258, 64, 86, 103, 96, 123, 9440, 2686, 105, 120]",31-Jan-11
24399699,1,0,[],8-Jan-14,22-Jul-13,0,1,0,[],1-Sep-11
24385423,18,3417,"[207, 354, 215, 457, 86, 348, 108, 520, 401, 48, 334, 339]",3-Jan-14,30-Nov-13,1,6,2220,"[207, 354, 457, 348, 520, 334]",10-Mar-09
25504418,48,4570,"[10, 60, 160, 60, 60, 42, 325, 120, 28, 30, 96, 50, 42, 64, 78, 30, 2, 100, 60, 150, 80, 100, 42, 47, 90, 180, 60, 100, 45, 60, 64, 33, 548, 268, 254, 228, 69, 26, 30, 110, 82, 46, 135, 258, 22, 26]",15-Dec-14,31-Jan-14,1,34,3149,"[10, 60, 60, 42, 325, 120, 28, 30, 42, 64, 78, 30, 100, 60, 150, 80, 100, 47, 90, 100, 45, 33, 548, 268, 69, 26, 110, 82, 46, 258, 22, 26]",28 Febuary 2010
25490233,14,222,"[55, 63, 5, 15, 25, 20, 39]",9-Dec-14,31-Mar-14,1,8,35,"[15, 20]",31-Jan-10
24379104,8,284,"[20, 30, 32, 117, 50, 7, 28]",30-Dec-13,4-Dec-12,1,7,284,"[20, 30, 32, 117, 50, 7, 28]",23-Nov-10
24374731,26,1640,"[10, 66, 40, 156, 140, 70, 40, 173, 33, 117, 60, 10, 103, 33, 60, 60, 68, 70, 62, 40, 45, 184]",28-Dec-13,9-Nov-12,0,23,57,"[24, 33]",31-May-08
24366859,4,175,[175],23-Dec-13,30-Sep-13,1,3,0,[],30-Jun-07
24357258,5,0,[],19-Dec-13,31-Mar-13,0,5,0,[],31-Oct-09
24343792,7,346,"[59, 59, 19, 58, 35, 45, 71]",17-Dec-13,24-Jul-13,0,4,224,"[59, 19, 75, 71]",17-Jan-11
24343585,4,92,"[18, 24, 5, 45]",16-Dec-13,9-Aug-13,0,3,219,"[36, 48, 135]",25-Aug-10
24338106,5,1585,"[55, 77, 575, 463, 415]",13-Dec-13,31-Mar-13,0,5,1585,"[463, 415, 575, 77, 55]",31-Jul-10
24323843,16,28,[28],9-Dec-13,31-May-13,0,12,28,[28],30-Apr-08
24323411,7,226,"[72, 104, 40, 10]",9-Dec-13,31-Aug-13,0,7,226,"[72, 104, 40, 10]",31-May-11
24310855,1,35,[35],6-Dec-13,9-Aug-13,0,1,104,[104],3-Mar-11
24310741,8,3217,"[173, 441, 993, 931, 679]",5-Dec-13,30-Jun-09,0,4,1607,"[173, 441, 993]",30-Jun-09
24307487,8,1499,"[29, 177, 267, 862, 128, 36]",4-Dec-13,31-Mar-13,0,4,296,"[29, 267]",31-May-09
24302546,29,5057,"[375, 204, 123, 40, 400, 80, 289, 180, 78, 200, 55, 125, 106, 183, 105, 110, 110, 498, 300, 40, 100, 105, 447, 142, 240, 200, 222]",4-Dec-13,30-Nov-12,0,29,5057,"[375, 204, 123, 40, 400, 80, 289, 180, 78, 200, 55, 125, 106, 183, 105, 110, 110, 498, 300, 40, 100, 105, 447, 142, 240, 200, 222]",30-Apr-09
24302533,12,1596,"[78, 182, 200, 48, 140, 220, 200, 50, 100, 230, 50, 98]",4-Dec-13,30-Nov-12,0,12,1596,"[78, 182, 200, 48, 140, 220, 200, 50, 100, 230, 50, 98]",30-Apr-09
24302466,16,511,"[17, 191, 51, 30, 12, 12, 14, 20, 67, 8, 14, 24, 3, 12, 20, 16]",4-Dec-13,4-Sep-11,1,4,158,"[1, 101, 56]",9-Sep-07
24302374,11,40,"[2, 38]",3-Dec-13,30-Sep-13,0,8,2,[2],22-Jun-11
24302299,27,1309,"[58, 45, 59, 54, 64, 390, 137, 35, 232, 39, 117, 79]",3-Dec-13,31-Aug-13,0,26,1309,"[58, 45, 59, 54, 64, 390, 137, 35, 232, 39, 117, 79]",30-Jun-10
24297389,22,7245,"[82, 31, 94, 62, 148, 105, 60, 60, 85, 4826, 101, 84, 75, 171, 65, 220, 614, 41, 88, 118, 48, 67]",2-Dec-13,30-Sep-13,0,22,7245,"[82, 31, 94, 62, 148, 105, 60, 60, 85, 4826, 101, 84, 75, 171, 65, 220, 614, 41, 88, 118, 48, 67]",29-Apr-10
24297303,12,508,"[19, 54, 115, 13, 18, 63, 32, 24, 86, 44, 24, 16]",2-Dec-13,28-Feb-13,0,11,495,"[19, 54, 115, 18, 63, 32, 24, 86, 44, 24, 16]",31-Aug-10
24282143,6,1246,"[401, 34, 54, 141, 616]",27-Nov-13,31-Oct-13,0,4,619,"[34, 54, 141, 390]",31-Jul-08
24258092,8,180,"[27, 20, 11, 18, 16, 29, 39, 20]",21-Nov-13,8-Jul-13,0,8,75,"[9, 8, 29, 19, 10]",28-Jun-11
24257962,1,0,[],10-Jun-14,8-Feb-13,0,1,0,[],8-Feb-13
24249315,35,5874,"[408, 56, 28, 399, 38, 133, 80, 68, 230, 67, 63, 76, 1493, 72, 96, 70, 49, 231, 23, 30, 85, 341, 44, 52, 75, 40, 66, 444, 32, 86, 60, 58, 108, 673]",18-Nov-13,31-May-10,0,21,4215,"[56, 38, 230, 67, 63, 76, 1493, 72, 49, 231, 23, 30, 341, 44, 52, 75, 40, 444, 32, 86, 673]",30-Apr-07
24226506,1,117,[117],13-Nov-13,31-May-13,0,1,117,[117],4-Aug-11
24226383,6,2581,"[1320, 97, 86, 518, 360, 200]",13-Nov-13,31-Oct-13,0,6,2581,"[1320, 97, 86, 518, 360, 200]",31-May-11
24222365,4,1439,"[300, 201, 111, 827]",12-Nov-13,30-Jun-13,1,3,612,"[300, 201, 111]",31-Dec-08
24222334,18,9833,"[427, 674, 476, 107, 539, 150, 897, 2289, 467, 505, 161, 54, 715, 212, 300, 500, 1360]",12-Nov-13,30-Sep-13,0,18,9833,"[427, 674, 476, 107, 539, 150, 897, 2289, 467, 505, 161, 54, 715, 212, 300, 500, 1360]",30-Sep-09
24218045,56,6004,"[101, 101, 206, 49, 40, 147, 35, 828, 834, 834, 145, 224, 82, 32, 91, 13, 137, 324, 164, 335, 60, 60, 51, 60, 79, 175, 13, 13, 20, 137, 40, 42, 42, 24, 24, 148, 25, 144, 75, 50]",12-Nov-13,31-Jan-12,0,26,19915,"[101, 147, 35, 17828, 145, 224, 82, 32, 91, 164, 335, 51, 79, 175, 20, 60, 24, 24, 148, 25, 75, 50]",31-Dec-06
24214280,30,14,[14],11-Nov-13,31-Dec-12,1,20,0,[],31-Dec-10
24173668,14,0,[],31-Oct-13,1-Aug-13,0,15,0,[],31-Jan-08
24151035,2,318,"[137, 181]",23-Oct-13,31-Aug-13,1,1,181,[181],31-May-09
24146345,14,1771,"[103, 124, 200, 405, 220, 103, 217, 399]",22-Oct-13,30-Apr-13,0,14,0,[],30-Nov-07
