SR_ID_Pub3,No of trials_Pub3,No of participants_Pub3,List of participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,conclusion,No of trials_Pub2,No of participants_Pub2,List of participants_Pub2,SearchDate_Pub2
28649802,18,713,"[24, 26, 21, 20, 62, 54, 43, 32, 20, 61, 28, 42, 30, 32, 35, 85, 18, 80]",26-Jun-17,8-Dec-16,1,7,85,[85],30-Jun-10
28635028,9,519,"[40, 20, 146, 53, 16, 18, 90, 33, 103]",21-Jun-17,30-Sep-16,0,7,340,"[40, 20, 53, 16, 18, 90, 103]",30-Sep-12
28626902,6,496,"[50, 320, 62, 64]",19-Jun-17,31-Jan-17,0,6,496,"[50, 320, 62, 64]",31-Jul-14
28931203,16,675,"[24, 130, 218, 24, 1, 82, 100, 96]",14-Jun-17,28-Feb-12,1,9,181,"[60, 24, 1, 96]",24-Feb-12
28602020,10,594,"[88, 20, 100, 61, 71, 25, 154, 13, 30, 32]",11-Jun-17,30-Nov-16,0,9,506,"[20, 100, 61, 71, 25, 154, 13, 30, 32]",6-Aug-13
28599068,8,0,[],9-Jun-17,31-Aug-16,0,2,0,[],31-Jul-12
28586127,15,4507,"[18, 97, 61, 1223, 81, 92, 79, 506, 1292, 302, 194, 61, 248, 253]",6-Jun-17,30-Jun-16,0,12,3241,"[67, 97, 61, 81, 79, 506, 1292, 302, 194, 61, 248, 253]",31-Oct-11
28585288,8,1035,[1035],6-Jun-17,31-Dec-16,0,7,0,[],31-May-12
28574573,8,6410,"[188, 4765, 1457]",2-Jun-17,30-Jun-16,0,7,6222,"[4765, 1457]",31-Jul-10
28573757,17,1420,"[30, 9, 151, 283, 243, 34, 20, 59, 26, 40, 58, 44, 63, 30, 50, 250, 30]",2-Jun-17,31-Jan-17,0,6,287,"[30, 9, 68, 59, 58, 63]",31-Oct-09
28541603,5,3849,"[274, 1655, 1282, 331, 307]",25-May-17,31-Mar-17,1,4,3399,"[1655, 1282, 155, 307]",30-Nov-10
28540977,29,0,[],25-May-17,31-Jan-17,1,23,0,[],30-Nov-08
28540716,24,5275,"[82, 59, 60, 181, 181, 177, 206, 141, 123, 210, 641, 138, 606, 606, 108, 239, 230, 206, 180, 123, 250, 179, 161, 188]",25-May-17,28-Mar-17,1,18,3157,"[59, 181, 181, 177, 206, 141, 123, 210, 138, 108, 239, 230, 206, 180, 250, 179, 161, 188]",31-Aug-09
28535332,3,94,[94],23-May-17,31-Jan-17,0,2,94,[94],31-Oct-10
28476075,5,213,"[10, 37, 30, 78, 58]",5-May-17,22-Sep-16,0,2,136,"[78, 58]",30-Jun-09
28447341,8,819,"[399, 420]",27-Apr-17,30-Nov-10,1,5,82,[82],30-Nov-10
28439881,40,1196,"[28, 13, 21, 28, 15, 15, 44, 30, 90, 12, 13, 19, 20, 25, 11, 20, 41, 14, 16, 38, 21, 21, 30, 42, 22, 10, 60, 41, 47, 60, 24, 20, 22, 20, 22, 38, 30, 32, 21, 100]",25-Apr-17,30-Nov-16,0,20,518,"[13, 28, 21, 28, 15, 20, 44, 90, 19, 20, 12, 13, 30, 20, 11, 25, 41, 16, 14, 38]",30-Nov-11
28434203,3,83,"[22, 28, 33]",23-Apr-17,21-Feb-17,0,3,83,"[22, 28, 33]",2-Nov-15
28406263,3,88,"[30, 58]",13-Apr-17,28-Feb-16,1,1,30,[30],31-May-12
28379619,12,20025,"[1342, 1688, 615, 1206, 793, 1441, 3190, 833, 1440, 5133, 1508, 836]",5-Apr-17,28-Feb-17,1,8,0,[],30-Jun-11
28378924,11,1371,"[132, 47, 46, 52, 356, 139, 219, 25, 69, 101, 185]",5-Apr-17,31-Jan-16,1,8,784,"[132, 47, 52, 139, 219, 25, 69, 101]",4-Jul-12
28368090,11,1486,"[56, 452, 43, 12, 102, 44, 75, 86, 116, 237, 263]",3-Apr-17,31-Oct-16,0,8,341,"[29, 41, 80, 191]",26-Nov-07
28349526,21,4546,"[42, 178, 1862, 77, 37, 312, 258, 59, 94, 38, 249, 76, 153, 202, 200, 325, 45, 32, 135, 72, 100]",26-Mar-17,19-Sep-16,0,20,396,[396],28-Jan-15
28333365,5,309,"[106, 56, 60, 24, 63]",23-Mar-17,28-Aug-15,0,3,144,"[56, 60, 28]",31-Mar-08
28282701,50,37327,"[4, 256, 256, 618, 1240, 462, 180, 387, 198, 395, 1520, 7197, 1, 1405, 358, 7587, 2471, 753, 269, 79, 105, 132, 786, 195, 301, 147, 206, 800, 419, 583, 61, 487, 1455, 906, 236, 336, 400, 480, 306, 51, 236, 68, 651, 30, 909, 775, 630]",10-Mar-17,31-Mar-16,0,46,63051,"[4, 256, 618, 1240, 462, 180, 198, 395, 1520, 7197, 1405, 358, 2471, 753, 269, 79, 105, 132, 786, 195, 301, 147, 206, 800, 419, 538, 61, 487, 1455, 21906, 236, 336, 400, 480, 306, 51, 236, 68, 13651, 30, 909, 775, 630]",31-Mar-10
28267223,9,3948,"[80, 295, 197, 500, 123, 188, 209, 120, 2236]",7-Mar-17,30-Nov-16,0,1,500,[500],30-Nov-08
28263370,13,5620,"[136, 130, 695, 513, 623, 475, 71, 378, 216, 2053, 244, 86]",6-Mar-17,30-Sep-16,0,9,3502,"[136, 130, 475, 378, 2053, 244, 86]",2-Jul-13
28262916,4,141,"[30, 40, 49, 22]",6-Mar-17,10-Oct-16,0,4,141,"[30, 40, 49, 22]",10-Feb-14
28245347,5,44,"[18, 10, 5, 11]",28-Feb-17,31-Jul-16,0,4,26,"[10, 5, 11]",30-Apr-13
28241090,8,1117,"[29, 29, 245, 38, 220, 91, 304, 161]",27-Feb-17,18-Jan-16,0,8,0,[],14-Jun-11
28240353,12,337,"[52, 41, 118, 52, 8, 55, 11]",27-Feb-17,30-Nov-16,0,12,337,"[52, 41, 118, 52, 8, 55, 11]",16-Sep-14
28236296,19,1398,"[40, 38, 58, 37, 99, 30, 300, 29, 68, 27, 99, 95, 12, 152, 63, 125, 22, 20, 84]",25-Feb-17,8-Mar-16,1,9,437,"[37, 30, 29, 27, 92, 12, 63, 125, 22]",17-May-12
