SR_ID_Pub3,Total_Trials_Pub3,Total_Participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,SearchDate_Pub2,Total_Trials_Pub2,Total_Participants_Pub2,conclusion
24122673,1,513,13-Oct-13,31-Jul-13,30-Jun-08,1,513,0
23633347,9,571,30-Apr-13,2-Aug-12,30-Nov-09,7,517,0
28439881,40,1196,25-Apr-17,30-Nov-16,30-Nov-11,20,518,0
25222766,13,531,15-Sep-14,4-Sep-14,28-Jun-12,13,531,0
23450537,10,1127,28-Feb-13,18-Oct-12,28-Feb-09,7,535,0
26391969,2,536,22-Sep-15,31-Aug-15,30-Nov-12,2,536,1
27404120,1,548,12-Jul-16,30-Apr-16,27-Feb-12,1,548,0
23152235,6,553,14-Nov-12,8-Feb-12,11-Sep-09,6,553,0
24956457,12,555,23-Jun-14,2-Jun-14,31-Dec-11,12,555,0
22161401,12,891,7-Dec-11,28-Feb-11,28-Feb-08,6,563,1
24760678,6,1543,23-Apr-14,31-Mar-14,30-Nov-10,5,564,1
29993119,64,2024,11-Jul-18,16-Aug-17,30-Jun-11,16,567,1
26079202,12,2029,16-Jun-15,28-Jan-15,15-Feb-11,2,580,1
30096215,8,1871,10-Aug-18,20-Sep-17,31-Aug-11,3,583,1
25698124,1,585,20-Feb-15,31-Aug-13,31-Jan-10,1,585,0
24719027,10,475,10-Apr-14,28-Feb-14,30-Jun-10,15,605,0
23450572,3,605,28-Feb-13,30-Nov-12,31-May-10,3,605,0
24222365,4,1439,12-Nov-13,30-Jun-13,31-Dec-08,3,612,1
24599680,7,696,5-Mar-14,28-Feb-13,30-Jun-07,7,614,1
25942496,8,1168,5-May-15,30-Jun-14,30-Jun-11,4,617,0
26446577,42,682,8-Oct-15,30-Jun-15,30-Jun-08,19,619,1
24282143,6,1246,27-Nov-13,31-Oct-13,31-Jul-08,4,619,0
26593309,5,620,23-Nov-15,30-Nov-14,31-Mar-12,5,620,0
23980026,8,141,27-Aug-13,31-Jul-12,31-Mar-08,23,622,1
25604891,6,1009,21-Jan-15,31-Oct-14,31-May-11,5,623,0
25984923,13,675,18-May-15,21-Jul-14,1-Oct-10,12,625,1
23633335,2,630,30-Apr-13,31-Oct-12,31-Mar-07,2,630,0
22161398,23,1352,7-Dec-11,20-Jan-11,31-Dec-07,12,632,0
29523018,16,1036,10-Mar-18,31-Mar-17,31-Aug-11,9,635,1
25420475,8,807,25-Nov-14,21-Mar-14,1-Mar-11,6,637,0
29741752,6,710,9-May-18,30-Jun-17,28-Feb-14,5,642,0
28231607,5,662,24-Feb-17,19-Sep-16,30-Jun-12,5,662,0
23633333,16,1565,30-Apr-13,30-Jun-12,15-Jan-09,8,662,1
22419328,9,667,14-Mar-12,30-Sep-11,31-Aug-09,9,667,0
25581416,8,1977,12-Jan-15,31-Dec-10,31-Dec-10,4,673,1
22786502,5,410,11-Jul-12,30-Sep-08,30-Sep-08,8,673,1
25470303,4,675,3-Dec-14,30-Jun-14,30-Nov-11,4,675,0
22592713,24,910,16-May-12,31-Jan-12,31-Jan-07,20,686,1
30039850,4,294,24-Jul-18,7-Aug-17,28-Feb-11,2,691,1
24913721,9,1050,10-Jun-14,9-Oct-13,11-Feb-09,5,696,0
23152206,8,705,14-Nov-12,9-May-12,31-Dec-16,8,699,0
23897485,4,701,29-Jul-13,30-Jun-08,28-Feb-11,4,701,0
18843675,9,716,8-Oct-08,27-Feb-08,27-Feb-08,9,716,1
23543552,11,777,28-Mar-13,20-Aug-12,30-Sep-09,9,717,0
27356171,11,829,29-Jun-16,28-Feb-16,30-Sep-11,10,729,0
23970444,3,739,22-Aug-13,30-Jun-12,31-Jan-09,3,739,1
19160290,4,962,21-Jan-09,31-May-08,31-Mar-07,3,741,0
